Thread ID: 70141056596960
Fiber ID: 70141066590800
Total: 0.003482
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.14      0.000     0.000     0.000     0.000        1   <Class::File>#join 
  0.14      0.000     0.000     0.000     0.000        1   Rack::Utils#escape 
  0.14      0.000     0.000     0.000     0.000        4   ActiveRecord::LogSubscriber#logger 
  0.14      0.000     0.000     0.000     0.000        2   Time#minus_with_coercion 
  0.14      0.000     0.000     0.000     0.000        1   <Class::File>#readable? 
  0.14      0.000     0.000     0.000     0.000        2   Rack::Request#initialize 
  0.14      0.000     0.000     0.000     0.000        3   Array#last 
  0.14      0.000     0.000     0.000     0.000        1   String#blank? 
  0.14      0.000     0.000     0.000     0.000        3   Hash#include? 
  0.14      0.000     0.000     0.000     0.000        4   Kernel#initialize_copy 
  0.14      0.000     0.000     0.000     0.000        5   Integer#to_i 
  0.14      0.000     0.000     0.000     0.000       12   Kernel#block_given? 
  0.14      0.000     0.000     0.000     0.000        2   String#[] 
  0.14      0.000     0.000     0.000     0.000       11   Symbol#to_s 
  0.14      0.000     0.000     0.000     0.000        1   Rack::Test::Session#headers_for_env 
  0.14      0.000     0.000     0.000     0.000        5   Time#initialize 
  0.14      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#active? 
  0.14      0.000     0.000     0.000     0.000        2   String#to_sym 
  0.14      0.000     0.000     0.000     0.000        2   ActionDispatch::Integration::Session#host 
  0.14      0.000     0.000     0.000     0.000        1   URI::Generic#check_host 
  0.14      0.000     0.000     0.000     0.000        5   Kernel#tap 
  0.14      0.000     0.000     0.000     0.000       51   BasicObject#== 
  0.14      0.000     0.000     0.000     0.000        1   Rack::Utils#status_code 
  0.14      0.001     0.000     0.000     0.001        1   Rack::Test::Session#request 
  0.14      0.000     0.000     0.000     0.000        2   <Module::ActiveSupport::Notifications>#subscribe 
  0.14      0.000     0.000     0.000     0.000        1   URI::Generic#check_port 
  0.14      0.000     0.000     0.000     0.000        1   Object#try 
  0.14      0.000     0.000     0.000     0.000        3   Kernel#freeze 
  0.14      0.000     0.000     0.000     0.000        2   URI::Generic#split_path 
  0.14      0.000     0.000     0.000     0.000        2   ActionDispatch::Integration::Session#_mock_session 
  0.11      0.000     0.000     0.000     0.000        3   Array#empty? 
  0.11      0.000     0.000     0.000     0.000        2   ActionDispatch::Integration::Runner#respond_to? 
  0.11      0.000     0.000     0.000     0.000        1   Rails::Application#call 
  0.11      0.000     0.000     0.000     0.000        1   IO#seek 
  0.11      0.000     0.000     0.000     0.000        3   Fixnum#<=> 
  0.11      0.000     0.000     0.000     0.000        1   ActionDispatch::Integration::Runner#copy_session_variables! 
  0.11      0.000     0.000     0.000     0.000        2   URI::Generic#component_ary 
  0.11      0.000     0.000     0.000     0.000        1   <Class::File>#extname 
  0.11      0.000     0.000     0.000     0.000        1   ActionDispatch::FileHandler#call 
  0.11      0.000     0.000     0.000     0.000        6  *ActiveSupport::TestCase#use_transactional_fixtures 
  0.11      0.000     0.000     0.000     0.000        1   URI::Generic#host= 
  0.11      0.000     0.000     0.000     0.000        1   Rack::Utils#byte_ranges 
  0.11      0.000     0.000     0.000     0.000        1   Module#< 
  0.11      0.000     0.000     0.000     0.000        3   Array#shift 
  0.11      0.000     0.000     0.000     0.000        1   <Class::Rack::Utils::HeaderHash>#new 
  0.11      0.000     0.000     0.000     0.000        1   BasicObject#!= 
  0.11      0.000     0.000     0.000     0.000        1   <Class::Mime::Type>#lookup 
  0.11      0.000     0.000     0.000     0.000        1   ActionDispatch::Response#status= 
  0.11      0.000     0.000     0.000     0.000        2   Range#begin 
  0.11      0.000     0.000     0.000     0.000        1   Kernel#lambda 
  0.11      0.000     0.000     0.000     0.000        2   Rack::MockSession#last_request 
  0.11      0.000     0.000     0.000     0.000        1   Rack::Test::Session#retry_with_digest_auth? 
  0.11      0.000     0.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#unsubscribe 
  0.11      0.000     0.000     0.000     0.000        1   String#=~ 
  0.11      0.000     0.000     0.000     0.000        1   Proc#call 
  0.11      0.000     0.000     0.000     0.000        1   Rack::Utils#bytesize 
  0.11      0.000     0.000     0.000     0.000        1   Rack::MockResponse#body 
  0.11      0.000     0.000     0.000     0.000        2   Enumerable#find 
  0.09      0.000     0.000     0.000     0.000        2   <Module::ActiveSupport::Notifications>#unsubscribe 
  0.09      0.000     0.000     0.000     0.000        1   Rack::File#each 
  0.09      0.000     0.000     0.000     0.000        1   Rack::BodyProxy#initialize 
  0.09      0.000     0.000     0.000     0.000        1   MonitorMixin::ConditionVariable#signal 
  0.09      0.002     0.000     0.000     0.002        2  *BrowsingTest#test_homepage 
  0.09      0.000     0.000     0.000     0.000        1   Rack::Utils::HeaderHash#merge! 
  0.09      0.000     0.000     0.000     0.000        1   Array#delete 
  0.09      0.000     0.000     0.000     0.000        1   StringIO#flush 
  0.09      0.000     0.000     0.000     0.000        2   Array#clear 
  0.09      0.000     0.000     0.000     0.000        2   <Class::URI::Generic>#component 
  0.09      0.000     0.000     0.000     0.000        1   Rack::Utils#unescape 
  0.09      0.000     0.000     0.000     0.000        2   <Class::String>#try_convert 
  0.09      0.000     0.000     0.000     0.000        4   Array#first 
  0.09      0.000     0.000     0.000     0.000        1   Enumerable#detect 
  0.09      0.000     0.000     0.000     0.000        1   ActionDispatch::FileHandler#ext 
  0.09      0.000     0.000     0.000     0.000        2   String#initialize_copy 
  0.09      0.000     0.000     0.000     0.000        1   String#chomp 
  0.09      0.000     0.000     0.000     0.000        2  *ActiveSupport::TestCase#use_instantiated_fixtures 
  0.09      0.000     0.000     0.000     0.000        2   <Class::ActiveRecord::LogSubscriber>#runtime 
  0.09      0.000     0.000     0.000     0.000        1   ActiveSupport::TestCase#_run_teardown_callbacks 
  0.09      0.000     0.000     0.000     0.000        1   <Class::ActionDispatch::Response>#default_charset 
  0.09      0.000     0.000     0.000     0.000        1   Hash#has_key? 
  0.09      0.000     0.000     0.000     0.000        1   ConditionVariable#signal 
  0.09      0.000     0.000     0.000     0.000        1   StringIO#set_encoding 
  0.09      0.000     0.000     0.000     0.000        1   Rack::File#call 
  0.09      0.000     0.000     0.000     0.000        1   Object#present? 
  0.09      0.000     0.000     0.000     0.000        2  *ActiveSupport::TestCase#pre_loaded_fixtures 
  0.09      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#release_connection 
  0.09      0.000     0.000     0.000     0.000        1   Hash#fetch 
  0.09      0.000     0.000     0.000     0.000        1   Time#day 
  0.09      0.000     0.000     0.000     0.000        1   <Module::ActiveRecord::IdentityMap>#clear 
  0.09      0.000     0.000     0.000     0.000        1   StringIO#length 
  0.09      0.000     0.000     0.000     0.000        3   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id 
  0.06      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionHandler#clear_active_connections! 
  0.06      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#connection 
  0.06      0.000     0.000     0.000     0.000        2   <Class::StringIO>#allocate 
  0.06      0.000     0.000     0.000     0.000        1   ActionController::TemplateAssertions#teardown_subscriptions 
  0.06      0.000     0.000     0.000     0.000        6   <Class::Time>#allocate 
  0.06      0.000     0.000     0.000     0.000        2   <Class::String>#allocate 
  0.06      0.000     0.000     0.000     0.000        1   Time#initialize_copy 
  0.06      0.000     0.000     0.000     0.000        4   BasicObject#initialize 
  0.06      0.000     0.000     0.000     0.000        2   <Class::ActiveSupport::Duration>#=== 
  0.06      0.000     0.000     0.000     0.000        1   Array#[]= 
  0.06      0.000     0.000     0.000     0.000        3   ActiveRecord::TestFixtures::ClassMethods#uses_transaction? 
  0.06      0.000     0.000     0.000     0.000        1   Time#wday 
  0.06      0.000     0.000     0.000     0.000        2  *ActiveSupport::Testing::Performance#full_profile_options 
  0.06      0.000     0.000     0.000     0.000        1   Rails::Application#env_config 
  0.06      0.000     0.000     0.000     0.000        2   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#execute 
  0.06      0.000     0.000     0.000     0.000        1   Range#end 
  0.06      0.000     0.000     0.000     0.000        1   Rack::Test::CookieJar#merge 
  0.06      0.000     0.000     0.000     0.000        1   String#encoding 
  0.06      0.000     0.000     0.000     0.000        1   StringIO#string 
  0.06      0.000     0.000     0.000     0.000        2   Hash#delete 
  0.06      0.000     0.000     0.000     0.000        1   Time#mon 
  0.06      0.000     0.000     0.000     0.000        1   Rails::Engine#routes 
  0.06      0.000     0.000     0.000     0.000        4   Hash#initialize 
  0.06      0.000     0.000     0.000     0.000        1   Time#hour 
  0.06      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_run_checkout_callbacks 
  0.06      0.000     0.000     0.000     0.000        1   ActiveSupport::TestCase#_run_setup_callbacks 
  0.06      0.000     0.000     0.000     0.000        1   String#encoding_aware? 
  0.06      0.000     0.000     0.000     0.000        1   Rack::Test::CookieJar#hash_for 
  0.06      0.000     0.000     0.000     0.000        1   <Class::Range>#allocate 
  0.06      0.000     0.000     0.000     0.000        2   Array#map 
  0.06      0.000     0.000     0.000     0.000        1   Rails::Engine#app 
  0.06      0.000     0.000     0.000     0.000        4   ActiveSupport::Notifications::Fanout::Subscriber#publish 
  0.06      0.000     0.000     0.000     0.000        1   <Class::IO>#allocate 
  0.06      0.000     0.000     0.000     0.000        1   NilClass#to_s 
  0.03      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#begin_db_transaction 
  0.03      0.000     0.000     0.000     0.000        1   <Module::ActiveRecord::IdentityMap>#repository 
  0.03      0.000     0.000     0.000     0.000        2   ActiveSupport::TaggedLogging#method_missing 
  0.03      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#_run_checkin_callbacks 
  0.03      0.000     0.000     0.000     0.000        1   String#bytesize 
  0.03      0.000     0.000     0.000     0.000        1   Time#sec 
  0.03      0.000     0.000     0.000     0.000        2   ActiveRecord::ExplainSubscriber#call 
  0.03      0.000     0.000     0.000     0.000        2  *<Class::ActiveRecord::Base>#clear_active_connections! 
  0.03      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#checkin 
  0.03      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#verify! 
  0.03      0.000     0.000     0.000     0.000        2   <Class::ActiveRecord::LogSubscriber>#runtime= 
  0.03      0.003     0.000     0.000     0.003        1   Integer#times 
  0.03      0.000     0.000     0.000     0.000        1   Hash#hash 
  0.03      0.000     0.000     0.000     0.000        1   Hash#each_value 
  0.03      0.000     0.000     0.000     0.000        2   Hash#values 
  0.03      0.000     0.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#listeners_for 
  0.03      0.000     0.000     0.000     0.000        2   Time#minus_with_duration 
  0.03      0.000     0.000     0.000     0.000        2   ActiveSupport::Notifications::Fanout#publish 
  0.03      0.000     0.000     0.000     0.000        1   ActiveSupport::Testing::Performance::Performer#full_profile_options 
  0.03      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::AbstractAdapter#lease 
  0.03      0.000     0.000     0.000     0.000        2   ActiveSupport::BufferedLogger#debug? 
  0.03      0.000     0.000     0.000     0.000        2   <Class::Proc>#new 
  0.03      0.003     0.000     0.000     0.003        1   ActiveSupport::Testing::Performance::Performer#run_test 
  0.03      0.000     0.000     0.000     0.000        2   Time#year 
  0.03      0.000     0.000     0.000     0.000        1   ActiveRecord::ConnectionAdapters::ConnectionPool#checkout_and_verify 
  0.03      0.000     0.000     0.000     0.000        1   Time#min 
  0.03      0.000     0.000     0.000     0.000        1   Fixnum#divmod 

* indicates recursively called methods
